event_id,event_name,event_date,event_location,person,description,event_type,url
event_013,Lễ Hội Điện Hòn Chén,Đầu tháng 3 và tháng 7 Âm lịch hàng năm,"Làng Hải Cát, phường Long Hồ, thành phố Huế",,"Lễ hội Điện Huệ Nam là sinh hoạt truyền thống mang yếu tố văn hoá tâm linh thờ phụng Thánh Mẫu Thiên Y A Na được cử hành vào tháng ba và tháng bảy âm lịch hàng năm. Hoạt động Lễ hội góp phần bảo tồn và phát huy giá trị văn hóa, di sản gắn với di tích; đồng thời, đáp ứng nhu cầu tinh thần của cộng đồng thực hành tín ngưỡng thờ mẫu Tam Phủ - di sản văn hóa phi vật thể đại diện của nhân loại đã được UNESCO công nhận vào ngày 01/12/2016; thu hút khách du lịch đến với Huế. Tại Huế, nghi thức thực hành Tín ngưỡng thờ Mẫu Tam phủ này được tổ chức long trọng và bài bản nhất vào các dịp diễn ra Lễ hội Điện Huệ Nam (Lễ hội Điện Hòn Chén). Hầu hết nghi lễ chính diễn ra tại ngôi điện nằm trên núi Ngọc Trản bên bờ sông Hương, nơi thờ Thiên Y A Na Thánh Mẫu.",Du lịch,https://khamphahue.com.vn/Van-hoa/Chi-tiet/tid/Le-Hoi-Dien-Hon-Chen.html/pid/3036/cid/198
event_014,Lễ tế Xã Tắc,Cuối tháng 02 Âm lịch,"Đàn Xã Tắc (phường Thuận Hòa, thành phố Huế)",,"Vào thời nhà Nguyễn, Lễ tế Xã Tắc là một trong những nghi lễ cung đình quan trọng xếp vào hàng “đại tự”, thể hiện khát vọng hòa hợp, chung sống với thiên nhiên. Lễ tế đề cao những giá trị nhân văn, phù hợp với đạo lý của dân tộc Việt Nam.",Lịch sử,https://khamphahue.com.vn/Van-hoa/Chi-tiet/cid/198/pid/5780
event_015,Lễ hội đền Huyền Trân Công chúa,Mồng 9 tháng Giêng (Âm lịch),"151 Thiên Thai, An Tây, thành phố Huế",,"Lễ hội đền Huyền Trân Công chúa là một hoạt động văn hoá có ý nghĩa tri ân, ghi nhận và tưởng nhớ Công chúa Huyền Trân - người đã có công với nước trong việc mở rộng bờ cõi, giang sơn, gấm vóc của dân tộc về phía nam (nay là vùng đất nam Quảng Trị và Thừa Thiên Huế). Vào ngày mồng Chín tháng Giêng (âm lịch) hàng năm, nhằm ngày mất của Bà, tỉnh Thừa Thiên Huế tổ chức Lễ hội đền Huyền Trân Công chúa trên núi Ngũ Phong (nay là Trung tâm Văn hóa Huyền Trân - 151 Thiên Thai, phường An Tây, thành phố Huế).",Du lịch,https://khamphahue.com.vn/Van-hoa/Chi-tiet/tid/Le-hoi-den-Huyen-Tran-Cong-chua.html/pid/1396/cid/198
event_016,Bà Nà,1997,"Hòa Vang, Đà Nẵng",,"Năm 1901, Quan toàn quyền Đông Dương Paul Doumer muốn tìm một nơi tương tự như Đà Lạt để xây dựng khu nghỉ mát, nghỉ dưỡng, chữa bệnh cho các quan chức, binh lính và sĩ quan người Pháp. Nhiệm vụ được giao cho Debay, một Đại úy thủy quân lục chiến, trực tiếp chỉ huy tìm kiếm. Nhận định đây là vùng đất lý tưởng có thể xây dựng khu nghỉ dưỡng theo ý muốn, ngày 30/11/1901, quan toàn quyền Paul Doumer đã ra nghị định biến Bà Nà thành một khu bảo tồn lâm nghiệp để tiện cho việc nghiên cứu về Bà Nà được kỹ lưỡng hơn. [1] Sau Chiến tranh thế giới thứ nhất (1914-1918), người Pháp đẩy mạnh xây dựng khu nghỉ mát Bà Nà, hoàn tất con đường nối Bà Nà với đường thuộc địa số 1 (sau này là quốc lộ 1) ngay trong năm 1919, tạo điều kiện dễ dàng cho những công sở, quan chức và kiều dân Pháp đầu tư xây dựng khu nghỉ dưỡng, kinh doanh ở Bà Nà. Tháng 5 năm 1919, thời đốc lý Galtier, luật sư Beisson trở thành người đầu tiên xây dựng nhà nghỉ ở Bà Nà. Tính đến 23/7/1921, tại Bà Nà đã có 39 lô đất được cấp phép xây dựng của 36 chủ đầu tư, phân bố trải đều theo cụm. Năm 1928, đường lên đỉnh núi được hoàn tất khiến hoạt động du lịch phát triển hơn. đã được đưa vào phục vụ du khách. Năm 1938, Bà Nà đã được Phòng Du lịch Đông Dương đưa vào tour du lịch 8 ngày bằng xe hơi tuyến Sài Gòn - Đà Lạt - Nha Trang - Quy Nhơn - Đà Nẵng - Huế - Vinh - Hà Nội - Hải Phòng và ngược lại. Kiệu ghế là một loại phương tiện di chuyển được yêu thích tại đây. Khi Pháp quay trở lại xâm lược Việt Nam lần thứ 2, nhân dân địa phương thực hiện chủ trương tiêu thổ kháng chiến nên đã triệt hạ các công trình xây dựng ở Bà Nà. Sau năm 1975 Vào ngày 30/11/1997, UBND Thành phố Đà Nẵng quyết định xây dựng lại Bà Nà thành một khu du lịch sinh thái có quy mô lớn với hệ thống nhà nghỉ, nhà hàng, khu bảo tồn. Một con đường huyết mạch từ chân núi lên tới đỉnh núi dài 15 km được trải nhựa, tạo thuận lợi cho việc chuyên chở vật liệu lên xây dựng cơ sở vật chất trên đỉnh núi. Sau năm 2000, thị trấn du lịch Bà Nà đã được đánh thức. Các doanh nhân Đà Nẵng cùng với chính quyền thành phố đã xây dựng Bà Nà thành khu lịch du lịch sinh thái kết hợp nghỉ dưỡng với nhiều cơ sở dịch vụ được đưa vào khai thác. Bà Nà được cho là điểm dừng chân ưa thích của các du khách đến thành phố Đà Nẵng. Tuy nhiên, do tính chất nhỏ lẻ, thiếu đồng bộ của các công trình, dịch vụ ở Bà Nà khi đó, cộng với cách quản lí thiếu chuyên nghiệp, khu lịch du lịch sinh thái đã không thực sự thu hút và đáp ứng được nhu cầu của du khách. Chỉ một thời gian ngắn sau khi được xây dựng lại, du khách thưa dần, Bà Nà không còn là điểm đến được ưa chuộng. Nhằm phục vụ nhu cầu du lịch khám phá, nghỉ dưỡng và du lịch tâm linh của đông đảo du khách, Công ty Cổ phần Dịch vụ Cáp treo Bà Nà đã đầu tư xây dựng tuyến cáp treo Bà Nà - Suối Mơ và chính thức khai thác tuyến cáp treo này vào ngày 25/3/2009 sau 12 tháng thi công và 2 tháng chuẩn bị. Đây là tuyến cáp treo rất hiện đại trên thế giới tại thời điểm ấy, được xây dựng theo tiêu chuẩn châu u với tổng mức đầu tư khoảng 300 tỷ đồng. Tiếp đó, nhiều công trình mới được xây dựng nhằm đáp ứng nhu câu của khách tham quan trong và ngoài nước tới Bà Nà, nổi bật như khu vui chơi giải trí trong nhà rộng 21. Năm 2017, thêm 2 tuyến cáp treo Hội An – Marseille và Bordeaux – Louvre (tất cả đều là tên ga) tiếp tục được đưa vào hoạt động. Cũng trong năm này, Bà Nà Hills Mountain Resort chính thức trở thành thành viên của Tập đoàn Sun World, với tên gọi Sun World Ba Na Hills, cùng với Sun World Danang Wonders (Đà Nẵng), Sun World Halong Complex (Hạ Long, Quảng Ninh), Sun World Fansipan Legend (Sa Pa, Lào Cai), Sun World Hon Thom Nature Park (An Thới, Phú Quốc). Tháng 6/2018, tại Bà Nà có thêm công trình Cầu Vàng - được một số tờ bảo lớn nhắc đến như: New York Times, Forbes, CNN.",Lịch sử,
event_017,Chiến dịch Huế – Đà Nẵng,5/3-29/3/1975,"Huế , Đà Nẵng và các tỉnh Trung Trung Bộ miền Nam Việt Nam", Quân Giải phóng miền Nam Việt Nam,"Chiến thắng quyết định của Quân Giải phóng miền Nam Việt Nam [ 1 ] [ 2 ] [ 3 ]. Chiến dịch này bắt đầu từ ngày 5 tháng 3 đến ngày 29 tháng 3 năm 1975 sau khi chiến dịch Tây Nguyên bắt đầu được một ngày. các hoạt động quân sự của chiến dịch bao gồm ba chiến dịch nhỏ hơn được tiến hành gối nhau về thời gian: Chiến dịch Trị Thiên 1975, Chiến dịch Nam-Ngãi và Chiến dịch Đà Nẵng.",Lịch sử,
event_018,Chùa Linh Ứng,,"Sơn Trà, Đà Nẵng",,"Do cố ý vì mục đích kinh doanh hay vì một lý do nào đó mà 2 ngôi chùa mới xây sau này đều cùng tên với ngôi chùa cổ. Không rõ là do vô tình hay do chữ duyên mà cả ba ngôi chùa đều được tọa lạc trên những vị thế đắc địa của thành phố Đà Nẵng, tạo thành một ""tam giác"" linh thiêng trong thành phố.",Lịch sử,
event_019,Cầu Rồng,2009-2013,"Đà Nẵng, sông Hàn, 16°03′40″B 108°13′36″Đ ﻿ / ﻿ 16,061203°B 108,226744°Đ ﻿ / 16.061203; 108.226744","+ Gói 1A (cầu dẫn và CKN cầu chính: Liên danh Công ty TNHH MTV 508 và Công ty Cầu 75
+ Gói 1B (thượng bộ cầu chính):Tổng công ty xây dựng công trình giao thông 1 (Cienco 1)",[ 1 ] Vì cây cầu có hình dáng giống một con rồng nên được gọi là Cầu Rồng,Du lịch,
event_020,Cầu Sông Hàn,2/9/1998 - 29/3/2000,"Đà Nẵng, Sông Hàn, 16°04′20″B 108°13′36″Đ ﻿ / ﻿ 16,07228°B 108,22672°Đ ﻿ / 16.07228; 108.22672",Công ty Cầu 12 (CIENCO1) TECCO 533,"Đây là cây cầu xoay đầu tiên do kỹ sư, công nhân Việt Nam tự thiết kế và thi công và là cây cầu quay duy nhất còn có khả năng xoay được ở Việt Nam hiện nay.",Du lịch,
event_021,Cầu Thuận Phước,30/4/2005-19/7/2009,"Đà Nẵng , Việt Nam, Sông Hàn, 16°05′31″B 108°13′19″Đ ﻿ / ﻿ 16,0919°B 108,222°Đ ﻿ / 16.0919; 108.222",Công ty Cơ khí xây dựng công trình 623 và Tổng Công ty xây dựng Công trình giao thông 6,"Cầu Thuận Phước là cây cầu treo dây võng bắc qua 2 bờ sông Hàn, nối đường Nguyễn Tất Thành với cầu Mân Quang giữa 2 quận Hải Châu và Sơn Trà thuộc thành phố Đà Nẵng.",Du lịch,
event_022,Cầu Trần Thị Lý,4/ 2009 - 29/3/2013,"Đà Nẵng, Sông Hàn, 16°03′01″B 108°13′46″Đ ﻿ / ﻿ 16,0503°B 108,2294°Đ ﻿ / 16.0503; 108.2294",CIENCO 1 - Công ty VSL Việt Nam - Công ty CP TVTK Cầu lớn - Hầm (triển khai bản vẽ thi công),[ 1 ] Cầu được khánh thành và đi vào hoạt động năm 2013.,Du lịch,
event_023,Trận Đà Nẵng (1859–1860),1859-1860,Đà Nẵng,,Liên quân Pháp - Tây Ban Nha rút khỏi Đà Nẵng. Trận Đà Nẵng (1859–1860) hay Liên quân Pháp – Tây Ban Nha tấn công Thành phố Đà Nẵng lần thứ hai là một trong những trận đánh mở đầu cho cuộc chiến tranh Pháp-Việt 1858-1884 trong lịch sử Việt Nam.,Lịch sử,
